,LR,,Aux1,,Aux2,,Aux3,,Aux4,,Aux5,,Aux6,,Aux7,,Aux8,,Aux9,,Aux10,,Aux11,,Aux12,
Ip32,40,1F,43,38,43,39,43,3A,43,3B,43,3C,43,3D,43,3E,43,3F,43,40,43,41,43,42,43,43
Ip33,40,20,43,44,43,45,43,46,43,47,43,48,43,49,43,4A,43,4B,43,4C,43,4D,43,4E,43,4F
Ip34,40,21,43,50,43,51,43,52,43,53,43,54,43,55,43,56,43,57,43,58,43,59,43,5A,43,5B
Ip35,40,22,43,5C,43,5D,43,5E,43,5F,43,60,43,61,43,62,43,63,43,64,43,65,43,66,43,67
Ip36,40,23,43,68,43,69,43,6A,43,6B,43,6C,43,6D,43,6E,43,6F,43,70,43,71,43,72,43,73
Ip37,40,24,43,74,43,75,43,76,43,77,43,78,43,79,43,7A,43,7B,43,7C,43,7D,43,7E,43,7F
Ip38,40,25,44,00,44,01,44,02,44,03,44,04,44,05,44,06,44,07,44,08,44,09,44,0A,44,0B
Ip39,40,26,44,0C,44,0D,44,0E,44,0F,44,10,44,11,44,12,44,13,44,14,44,15,44,16,44,17
Ip40,40,27,44,18,44,19,44,1A,44,1B,44,1C,44,1D,44,1E,44,1F,44,20,44,21,44,22,44,23
Ip41,40,28,44,24,44,25,44,26,44,27,44,28,44,29,44,2A,44,2B,44,2C,44,2D,44,2E,44,2F
Ip42,40,29,44,30,44,31,44,32,44,33,44,34,44,35,44,36,44,37,44,38,44,39,44,3A,44,3B
Ip43,40,2A,44,3C,44,3D,44,3E,44,3F,44,40,44,41,44,42,44,43,44,44,44,45,44,46,44,47
Ip44,40,2B,44,48,44,49,44,4A,44,4B,44,4C,44,4D,44,4E,44,4F,44,50,44,51,44,52,44,53
Ip45,40,2C,44,54,44,55,44,56,44,57,44,58,44,59,44,5A,44,5B,44,5C,44,5D,44,5E,44,5F
Ip46,40,2D,44,60,44,61,44,62,44,63,44,64,44,65,44,66,44,67,44,68,44,69,44,6A,44,6B
Ip47,40,2E,44,6C,44,6D,44,6E,44,6F,44,70,44,71,44,72,44,73,44,74,44,75,44,76,44,77
Ip48,40,2F,44,78,44,79,44,7A,44,7B,44,7C,44,7D,44,7E,44,7F,45,00,45,01,45,02,45,03
